date,order_id,product_id,product_name,quantity,unit_price,total_amount,channel,region,customer_id
2025-03-28,ORD-640490,P002,保濕控油化妝水,3,420,1260,momo,台北,C4848
2025-12-11,ORD-945742,P005,毛孔緊緻精華液,2,680,1360,蝦皮,台中,C1400
2025-01-24,ORD-740967,P004,溫和卸妝水,4,350,1400,官網,高雄,C7790
2025-11-19,ORD-618392,P004,溫和卸妝水,4,350,1400,實體門市,台中,C3417
2025-12-02,ORD-916232,P001,控油潔面凝膠,1,380,380,實體門市,台中,C3881
2025-12-23,ORD-684482,P008,美白淡斑精華,1,780,780,蝦皮,台北,C8478
2025-03-10,ORD-686075,P008,美白淡斑精華,5,780,3900,momo,高雄,C9270
2025-08-07,ORD-879779,P008,美白淡斑精華,2,780,1560,實體門市,高雄,C5246
2025-05-07,ORD-608136,P005,毛孔緊緻精華液,5,680,3400,蝦皮,台南,C8206
2025-02-09,ORD-384913,P005,毛孔緊緻精華液,2,680,1360,momo,台南,C9849
2025-02-11,ORD-342495,P003,清爽防曬乳 SPF50+,2,520,1040,實體門市,台中,C4505
2025-02-02,ORD-446954,P007,男士全效保濕霜,4,450,1800,實體門市,高雄,C2020
2025-04-16,ORD-907189,P007,男士全效保濕霜,4,450,1800,官網,新竹,C7232
2025-09-02,ORD-413118,P001,控油潔面凝膠,3,380,1140,實體門市,高雄,C9818
2025-10-07,ORD-330080,P004,溫和卸妝水,4,350,1400,momo,高雄,C8956
2025-01-15,ORD-801364,P007,男士全效保濕霜,3,450,1350,實體門市,台中,C8657
2025-03-07,ORD-720644,P001,控油潔面凝膠,4,380,1520,官網,台北,C8022
2025-03-11,ORD-152727,P008,美白淡斑精華,2,780,1560,momo,高雄,C6363
2025-04-19,ORD-453894,P008,美白淡斑精華,3,780,2340,實體門市,台南,C7906
2025-05-10,ORD-120324,P002,保濕控油化妝水,4,420,1680,官網,台南,C4673
2025-11-29,ORD-890870,P002,保濕控油化妝水,1,420,420,官網,台中,C4266
2025-01-11,ORD-232352,P003,清爽防曬乳 SPF50+,2,520,1040,實體門市,台北,C4571
2025-08-27,ORD-275939,P005,毛孔緊緻精華液,3,680,2040,官網,台中,C6096
2025-02-25,ORD-703766,P001,控油潔面凝膠,3,380,1140,實體門市,高雄,C4249
2025-02-08,ORD-831059,P004,溫和卸妝水,1,350,350,momo,新竹,C2983
2025-10-17,ORD-658623,P001,控油潔面凝膠,3,380,1140,實體門市,台南,C2129
2025-09-17,ORD-990844,P006,舒緩修復面膜,1,180,180,實體門市,高雄,C2729
2025-08-10,ORD-841666,P006,舒緩修復面膜,4,180,720,蝦皮,高雄,C3885
2025-09-25,ORD-947458,P005,毛孔緊緻精華液,5,680,3400,實體門市,高雄,C8136
2025-10-31,ORD-993085,P005,毛孔緊緻精華液,3,680,2040,蝦皮,台北,C5569
2025-08-19,ORD-697530,P004,溫和卸妝水,4,350,1400,實體門市,台南,C1470
2025-09-11,ORD-611233,P006,舒緩修復面膜,2,180,360,蝦皮,台南,C5232
2025-06-24,ORD-835244,P005,毛孔緊緻精華液,5,680,3400,momo,新竹,C1166
2025-09-22,ORD-353080,P004,溫和卸妝水,1,350,350,實體門市,高雄,C4937
2025-12-20,ORD-569945,P008,美白淡斑精華,4,780,3120,官網,台北,C5820
2025-04-24,ORD-421080,P007,男士全效保濕霜,2,450,900,momo,高雄,C9698
2025-06-26,ORD-446859,P007,男士全效保濕霜,5,450,2250,momo,高雄,C5438
2025-06-06,ORD-226516,P005,毛孔緊緻精華液,2,680,1360,蝦皮,台南,C2958
2025-10-02,ORD-326895,P003,清爽防曬乳 SPF50+,2,520,1040,實體門市,台南,C9595
2025-11-02,ORD-973074,P005,毛孔緊緻精華液,1,680,680,蝦皮,台南,C4727
2025-07-04,ORD-842411,P003,清爽防曬乳 SPF50+,4,520,2080,蝦皮,台南,C1745
2025-01-28,ORD-768854,P005,毛孔緊緻精華液,2,680,1360,實體門市,台北,C1200
2025-10-21,ORD-601968,P005,毛孔緊緻精華液,4,680,2720,實體門市,台南,C4020
2025-01-27,ORD-219629,P005,毛孔緊緻精華液,4,680,2720,官網,高雄,C9056
2025-02-07,ORD-256445,P001,控油潔面凝膠,2,380,760,momo,台北,C5066
2025-03-02,ORD-725084,P007,男士全效保濕霜,5,450,2250,蝦皮,新竹,C7232
2025-08-19,ORD-717113,P008,美白淡斑精華,3,780,2340,實體門市,台南,C1986
2025-11-09,ORD-755900,P002,保濕控油化妝水,2,420,840,蝦皮,台南,C2330
2025-03-22,ORD-678805,P004,溫和卸妝水,2,350,700,官網,台中,C1043
2025-07-29,ORD-592738,P008,美白淡斑精華,5,780,3900,momo,台北,C4792
2025-05-28,ORD-174637,P005,毛孔緊緻精華液,4,680,2720,蝦皮,台南,C4241
2025-08-06,ORD-779094,P002,保濕控油化妝水,6,420,2520,蝦皮,台南,C3330
2025-02-06,ORD-931131,P001,控油潔面凝膠,2,380,760,momo,新竹,C5728
2025-08-13,ORD-418862,P002,保濕控油化妝水,7,420,2940,實體門市,台南,C9199
2025-10-04,ORD-184349,P008,美白淡斑精華,4,780,3120,官網,高雄,C6280
2025-11-06,ORD-195763,P005,毛孔緊緻精華液,1,680,680,蝦皮,新竹,C1339
2025-12-11,ORD-142185,P005,毛孔緊緻精華液,5,680,3400,蝦皮,高雄,C9502
2025-11-30,ORD-290305,P008,美白淡斑精華,3,780,2340,實體門市,高雄,C2494
2025-08-29,ORD-449499,P006,舒緩修復面膜,4,180,720,momo,台北,C3634
2025-06-18,ORD-402218,P007,男士全效保濕霜,4,450,1800,實體門市,新竹,C1601
2025-08-21,ORD-438977,P002,保濕控油化妝水,5,420,2100,官網,高雄,C9431
2025-01-01,ORD-156837,P008,美白淡斑精華,4,780,3120,蝦皮,新竹,C6927
2025-11-15,ORD-896907,P008,美白淡斑精華,4,780,3120,官網,台中,C5375
2025-10-09,ORD-559398,P003,清爽防曬乳 SPF50+,3,520,1560,實體門市,台北,C1472
2025-11-19,ORD-425845,P004,溫和卸妝水,2,350,700,官網,新竹,C7684
2025-02-17,ORD-583863,P004,溫和卸妝水,1,350,350,官網,台中,C9165
2025-05-30,ORD-975271,P005,毛孔緊緻精華液,4,680,2720,實體門市,高雄,C4993
2025-08-22,ORD-728492,P003,清爽防曬乳 SPF50+,5,520,2600,蝦皮,台北,C5526
2025-08-01,ORD-380150,P006,舒緩修復面膜,5,180,900,官網,台南,C5891
2025-10-28,ORD-568238,P008,美白淡斑精華,2,780,1560,實體門市,台南,C6446
2025-10-10,ORD-437408,P007,男士全效保濕霜,4,450,1800,蝦皮,台中,C7274
2025-04-30,ORD-433632,P007,男士全效保濕霜,1,450,450,實體門市,高雄,C7325
2025-12-06,ORD-138817,P003,清爽防曬乳 SPF50+,4,520,2080,蝦皮,新竹,C6439
2025-02-21,ORD-651499,P008,美白淡斑精華,1,780,780,實體門市,台北,C3361
2025-07-29,ORD-919488,P003,清爽防曬乳 SPF50+,3,520,1560,momo,台南,C7512
2025-11-29,ORD-993744,P002,保濕控油化妝水,3,420,1260,實體門市,台南,C8994
2025-10-05,ORD-171744,P001,控油潔面凝膠,5,380,1900,蝦皮,台南,C4727
2025-02-16,ORD-897305,P007,男士全效保濕霜,1,450,450,官網,高雄,C3725
2025-12-22,ORD-148225,P005,毛孔緊緻精華液,1,680,680,momo,台北,C5806
2025-07-03,ORD-252640,P006,舒緩修復面膜,4,180,720,蝦皮,新竹,C7751
2025-10-17,ORD-283573,P003,清爽防曬乳 SPF50+,2,520,1040,官網,新竹,C7267
2025-11-14,ORD-711484,P004,溫和卸妝水,4,350,1400,蝦皮,台中,C8555
2025-11-23,ORD-367729,P005,毛孔緊緻精華液,4,680,2720,官網,高雄,C5712
2025-12-13,ORD-563187,P003,清爽防曬乳 SPF50+,1,520,520,momo,新竹,C5901
2025-11-24,ORD-579027,P007,男士全效保濕霜,3,450,1350,momo,台中,C7302
2025-09-05,ORD-499889,P002,保濕控油化妝水,2,420,840,momo,新竹,C5847
2025-12-25,ORD-970357,P005,毛孔緊緻精華液,1,680,680,實體門市,台南,C1132
2025-10-17,ORD-881369,P001,控油潔面凝膠,5,380,1900,實體門市,台南,C4770
2025-11-07,ORD-767542,P006,舒緩修復面膜,2,180,360,蝦皮,新竹,C5106
2025-12-14,ORD-757937,P003,清爽防曬乳 SPF50+,1,520,520,官網,台南,C8222
2025-01-18,ORD-194511,P006,舒緩修復面膜,2,180,360,momo,台南,C7807
2025-03-31,ORD-924718,P004,溫和卸妝水,2,350,700,momo,新竹,C9221
2025-05-20,ORD-964749,P003,清爽防曬乳 SPF50+,3,520,1560,實體門市,台南,C6549
2025-02-28,ORD-247594,P008,美白淡斑精華,1,780,780,蝦皮,高雄,C6992
2025-02-16,ORD-377304,P007,男士全效保濕霜,1,450,450,官網,高雄,C7038
2025-12-11,ORD-499534,P005,毛孔緊緻精華液,5,680,3400,momo,台北,C4830
2025-08-30,ORD-443939,P001,控油潔面凝膠,8,380,3040,蝦皮,台北,C8606
2025-12-25,ORD-222343,P005,毛孔緊緻精華液,4,680,2720,蝦皮,台北,C1609
2025-06-05,ORD-201913,P008,美白淡斑精華,1,780,780,蝦皮,新竹,C3222
2025-07-18,ORD-803055,P008,美白淡斑精華,3,780,2340,實體門市,新竹,C3531
2025-08-01,ORD-527940,P002,保濕控油化妝水,7,420,2940,momo,台北,C7070
2025-04-22,ORD-347582,P008,美白淡斑精華,4,780,3120,momo,台北,C7018
2025-10-06,ORD-517479,P006,舒緩修復面膜,1,180,180,momo,台中,C3001
2025-08-21,ORD-770556,P002,保濕控油化妝水,5,420,2100,官網,台北,C6464
2025-05-05,ORD-315173,P003,清爽防曬乳 SPF50+,5,520,2600,官網,新竹,C4394
2025-10-28,ORD-444519,P004,溫和卸妝水,2,350,700,蝦皮,新竹,C1046
2025-05-22,ORD-666456,P003,清爽防曬乳 SPF50+,2,520,1040,momo,台中,C2801
2025-12-05,ORD-115582,P001,控油潔面凝膠,2,380,760,momo,台中,C6304
2025-01-09,ORD-154944,P003,清爽防曬乳 SPF50+,3,520,1560,蝦皮,高雄,C9619
2025-02-28,ORD-570050,P002,保濕控油化妝水,4,420,1680,momo,新竹,C2786
2025-08-20,ORD-145471,P004,溫和卸妝水,5,350,1750,momo,高雄,C1510
2025-02-01,ORD-546980,P008,美白淡斑精華,4,780,3120,官網,高雄,C8267
2025-02-07,ORD-737846,P002,保濕控油化妝水,3,420,1260,蝦皮,台北,C3067
2025-05-21,ORD-726410,P006,舒緩修復面膜,4,180,720,momo,高雄,C9282
2025-11-06,ORD-931621,P007,男士全效保濕霜,1,450,450,官網,新竹,C4522
2025-08-09,ORD-533914,P008,美白淡斑精華,2,780,1560,momo,高雄,C7532
2025-08-01,ORD-427704,P002,保濕控油化妝水,5,420,2100,momo,台南,C3500
2025-12-18,ORD-195656,P008,美白淡斑精華,1,780,780,官網,台北,C8075
2025-02-19,ORD-683397,P006,舒緩修復面膜,2,180,360,官網,新竹,C6400
2025-12-10,ORD-470774,P002,保濕控油化妝水,4,420,1680,實體門市,台北,C5712
2025-11-04,ORD-208633,P005,毛孔緊緻精華液,3,680,2040,蝦皮,台中,C8900
2025-04-25,ORD-986438,P002,保濕控油化妝水,3,420,1260,momo,台北,C5564
2025-10-21,ORD-986209,P004,溫和卸妝水,4,350,1400,官網,新竹,C5381
2025-01-15,ORD-836833,P003,清爽防曬乳 SPF50+,3,520,1560,momo,台南,C6751
2025-01-04,ORD-693830,P003,清爽防曬乳 SPF50+,2,520,1040,實體門市,台北,C3324
2025-11-21,ORD-882354,P001,控油潔面凝膠,1,380,380,蝦皮,高雄,C7878
2025-08-21,ORD-488028,P006,舒緩修復面膜,2,180,360,momo,台南,C2391
2025-01-27,ORD-891083,P003,清爽防曬乳 SPF50+,2,520,1040,官網,台北,C5458
2025-08-15,ORD-736565,P007,男士全效保濕霜,4,450,1800,實體門市,高雄,C5475
2025-04-21,ORD-550797,P002,保濕控油化妝水,3,420,1260,官網,台南,C8972
2025-09-27,ORD-331230,P005,毛孔緊緻精華液,1,680,680,實體門市,新竹,C1897
2025-01-04,ORD-321494,P004,溫和卸妝水,3,350,1050,蝦皮,台南,C5742
2025-06-17,ORD-883301,P002,保濕控油化妝水,3,420,1260,實體門市,台中,C3116
2025-07-14,ORD-685864,P004,溫和卸妝水,5,350,1750,momo,台北,C7505
2025-01-22,ORD-582087,P007,男士全效保濕霜,1,450,450,官網,台南,C8033
2025-10-21,ORD-403578,P007,男士全效保濕霜,4,450,1800,官網,高雄,C1341
2025-06-16,ORD-972442,P003,清爽防曬乳 SPF50+,7,520,3640,momo,台北,C8155
2025-02-24,ORD-717476,P004,溫和卸妝水,4,350,1400,實體門市,新竹,C2288
2025-07-22,ORD-332335,P005,毛孔緊緻精華液,3,680,2040,momo,台中,C2251
2025-09-19,ORD-634723,P002,保濕控油化妝水,5,420,2100,蝦皮,台南,C6752
2025-11-27,ORD-207798,P003,清爽防曬乳 SPF50+,2,520,1040,蝦皮,台南,C4232
2025-03-30,ORD-285751,P003,清爽防曬乳 SPF50+,1,520,520,實體門市,高雄,C8354
2025-12-15,ORD-258290,P006,舒緩修復面膜,3,180,540,實體門市,台北,C8682
2025-08-15,ORD-720148,P005,毛孔緊緻精華液,3,680,2040,官網,台南,C9312
2025-02-07,ORD-573866,P005,毛孔緊緻精華液,4,680,2720,官網,台北,C7041
2025-05-27,ORD-744883,P002,保濕控油化妝水,1,420,420,實體門市,高雄,C1672
2025-08-19,ORD-734394,P004,溫和卸妝水,3,350,1050,實體門市,新竹,C3471
2025-02-01,ORD-950360,P008,美白淡斑精華,1,780,780,momo,台北,C9266
2025-11-27,ORD-359778,P003,清爽防曬乳 SPF50+,1,520,520,實體門市,高雄,C9586
2025-09-25,ORD-490963,P003,清爽防曬乳 SPF50+,3,520,1560,momo,高雄,C7697
2025-06-23,ORD-445705,P001,控油潔面凝膠,4,380,1520,官網,新竹,C7333
2025-05-26,ORD-257677,P005,毛孔緊緻精華液,5,680,3400,momo,台北,C3317
2025-06-29,ORD-235215,P005,毛孔緊緻精華液,4,680,2720,官網,台南,C7171
2025-11-26,ORD-802667,P006,舒緩修復面膜,2,180,360,官網,高雄,C9331
2025-07-05,ORD-289019,P001,控油潔面凝膠,5,380,1900,蝦皮,台南,C8967
2025-04-09,ORD-262471,P004,溫和卸妝水,2,350,700,官網,台南,C2657
2025-09-17,ORD-903531,P001,控油潔面凝膠,3,380,1140,蝦皮,新竹,C7172
2025-03-20,ORD-971728,P003,清爽防曬乳 SPF50+,2,520,1040,蝦皮,高雄,C1715
2025-07-30,ORD-565776,P006,舒緩修復面膜,2,180,360,momo,高雄,C4833
2025-10-01,ORD-947903,P004,溫和卸妝水,3,350,1050,實體門市,台中,C7026
2025-12-14,ORD-906814,P008,美白淡斑精華,4,780,3120,momo,高雄,C9239
2025-09-28,ORD-956572,P007,男士全效保濕霜,2,450,900,蝦皮,新竹,C3267
2025-05-09,ORD-489244,P001,控油潔面凝膠,4,380,1520,官網,新竹,C3042
2025-05-26,ORD-386042,P002,保濕控油化妝水,2,420,840,實體門市,新竹,C3414
2025-08-12,ORD-466566,P002,保濕控油化妝水,4,420,1680,官網,高雄,C1872
2025-07-22,ORD-504924,P006,舒緩修復面膜,2,180,360,官網,台南,C4678
2025-01-15,ORD-979940,P006,舒緩修復面膜,1,180,180,momo,台中,C3254
2025-01-20,ORD-829884,P005,毛孔緊緻精華液,4,680,2720,蝦皮,高雄,C8349
2025-11-12,ORD-119927,P001,控油潔面凝膠,1,380,380,momo,台中,C3449
2025-10-08,ORD-913875,P007,男士全效保濕霜,1,450,450,momo,台中,C5934
2025-03-04,ORD-540218,P001,控油潔面凝膠,2,380,760,實體門市,台北,C2816
2025-09-13,ORD-702980,P001,控油潔面凝膠,5,380,1900,蝦皮,台中,C5772
2025-08-08,ORD-352249,P001,控油潔面凝膠,7,380,2660,實體門市,台中,C2402
2025-09-26,ORD-651613,P006,舒緩修復面膜,1,180,180,官網,高雄,C8702
2025-01-23,ORD-365971,P007,男士全效保濕霜,3,450,1350,官網,台南,C2106
2025-06-26,ORD-908977,P004,溫和卸妝水,1,350,350,momo,台中,C1726
2025-06-30,ORD-970720,P006,舒緩修復面膜,2,180,360,實體門市,高雄,C3986
2025-03-11,ORD-138780,P002,保濕控油化妝水,4,420,1680,momo,台中,C1717
2025-04-13,ORD-425138,P001,控油潔面凝膠,3,380,1140,實體門市,新竹,C8756
2025-05-10,ORD-400009,P001,控油潔面凝膠,2,380,760,momo,台北,C6438
2025-05-20,ORD-558176,P002,保濕控油化妝水,3,420,1260,實體門市,高雄,C7334
2025-06-23,ORD-621691,P003,清爽防曬乳 SPF50+,7,520,3640,momo,新竹,C5369
2025-02-12,ORD-551524,P007,男士全效保濕霜,1,450,450,蝦皮,新竹,C5813
2025-06-14,ORD-793024,P002,保濕控油化妝水,3,420,1260,momo,台南,C8305
2025-11-05,ORD-823270,P007,男士全效保濕霜,2,450,900,實體門市,台南,C8325
2025-01-22,ORD-556068,P006,舒緩修復面膜,5,180,900,momo,台北,C2229
2025-12-10,ORD-638009,P007,男士全效保濕霜,3,450,1350,蝦皮,台北,C3339
2025-11-08,ORD-232361,P008,美白淡斑精華,1,780,780,官網,台中,C7001
2025-07-05,ORD-133958,P007,男士全效保濕霜,5,450,2250,蝦皮,高雄,C7077
2025-07-10,ORD-701800,P008,美白淡斑精華,1,780,780,蝦皮,新竹,C7012
2025-07-23,ORD-361736,P006,舒緩修復面膜,3,180,540,官網,台北,C4048
2025-09-13,ORD-223481,P007,男士全效保濕霜,5,450,2250,momo,台南,C8311
2025-04-20,ORD-309902,P005,毛孔緊緻精華液,4,680,2720,官網,台中,C2213
2025-08-20,ORD-949884,P003,清爽防曬乳 SPF50+,5,520,2600,momo,台南,C2063
2025-10-09,ORD-992717,P005,毛孔緊緻精華液,3,680,2040,蝦皮,台中,C6922
2025-09-18,ORD-310743,P004,溫和卸妝水,1,350,350,蝦皮,台中,C9094
2025-01-14,ORD-700076,P006,舒緩修復面膜,5,180,900,momo,高雄,C3126
2025-11-10,ORD-424314,P002,保濕控油化妝水,1,420,420,實體門市,高雄,C9612
2025-07-30,ORD-177333,P007,男士全效保濕霜,5,450,2250,蝦皮,台南,C2215
2025-08-19,ORD-461249,P008,美白淡斑精華,5,780,3900,蝦皮,新竹,C3981
2025-03-08,ORD-158104,P007,男士全效保濕霜,5,450,2250,官網,新竹,C3507
2025-06-05,ORD-843788,P003,清爽防曬乳 SPF50+,4,520,2080,蝦皮,台南,C9501
2025-05-26,ORD-305837,P002,保濕控油化妝水,3,420,1260,momo,台中,C5961
2025-11-11,ORD-772124,P002,保濕控油化妝水,5,420,2100,蝦皮,新竹,C3526
2025-03-29,ORD-143195,P006,舒緩修復面膜,5,180,900,官網,台北,C1744
2025-11-25,ORD-904214,P005,毛孔緊緻精華液,2,680,1360,實體門市,新竹,C1496
2025-09-12,ORD-606404,P005,毛孔緊緻精華液,3,680,2040,蝦皮,高雄,C5873
2025-08-21,ORD-560959,P002,保濕控油化妝水,2,420,840,實體門市,高雄,C8609
2025-04-15,ORD-250647,P006,舒緩修復面膜,5,180,900,momo,台南,C6658
2025-07-24,ORD-688933,P003,清爽防曬乳 SPF50+,6,520,3120,官網,台南,C4960
2025-08-27,ORD-359961,P002,保濕控油化妝水,5,420,2100,蝦皮,台北,C1829
2025-05-29,ORD-538446,P007,男士全效保濕霜,5,450,2250,蝦皮,台中,C6364
2025-10-23,ORD-900190,P006,舒緩修復面膜,2,180,360,蝦皮,高雄,C9433
2025-08-28,ORD-621530,P008,美白淡斑精華,3,780,2340,官網,台北,C7442
2025-09-16,ORD-325595,P008,美白淡斑精華,2,780,1560,momo,台北,C1828
2025-05-25,ORD-983791,P008,美白淡斑精華,5,780,3900,實體門市,台南,C9793
2025-01-05,ORD-240440,P002,保濕控油化妝水,4,420,1680,momo,台南,C7606
2025-07-07,ORD-697983,P001,控油潔面凝膠,5,380,1900,蝦皮,台南,C5728
2025-02-07,ORD-572230,P007,男士全效保濕霜,5,450,2250,momo,新竹,C2946
2025-03-07,ORD-491326,P002,保濕控油化妝水,4,420,1680,momo,新竹,C6990
2025-03-15,ORD-633853,P004,溫和卸妝水,5,350,1750,實體門市,新竹,C1659
2025-01-24,ORD-848255,P001,控油潔面凝膠,2,380,760,momo,高雄,C9508
2025-08-22,ORD-246570,P003,清爽防曬乳 SPF50+,8,520,4160,momo,新竹,C6218
2025-03-25,ORD-875232,P007,男士全效保濕霜,5,450,2250,momo,新竹,C6511
2025-09-17,ORD-414353,P008,美白淡斑精華,5,780,3900,實體門市,台北,C7035
2025-06-19,ORD-422623,P002,保濕控油化妝水,7,420,2940,官網,新竹,C8775
2025-05-16,ORD-711868,P004,溫和卸妝水,1,350,350,實體門市,台中,C9589
2025-11-19,ORD-961574,P007,男士全效保濕霜,2,450,900,蝦皮,台北,C2800
2025-04-08,ORD-428930,P001,控油潔面凝膠,4,380,1520,實體門市,台中,C7765
2025-12-20,ORD-626195,P004,溫和卸妝水,4,350,1400,實體門市,台北,C3262
2025-09-23,ORD-440839,P004,溫和卸妝水,5,350,1750,實體門市,新竹,C7173
2025-06-10,ORD-458955,P003,清爽防曬乳 SPF50+,7,520,3640,momo,台南,C8932
2025-04-09,ORD-685196,P004,溫和卸妝水,3,350,1050,momo,台中,C5876
2025-05-28,ORD-432441,P004,溫和卸妝水,4,350,1400,實體門市,台南,C5480
